"HJD";"Uncert.";"O-C";"E";"Reference";"Observer";"Obs. meth.";"Comment"
"2454400.9190";"0.01";"+0.0027";" -2196";"Hirosawa, 2012";"K. Hirosawa";"vis";""
"2454677.4210";"0.0020";"+0.0042";" -1594";"Le Borgne et al., 2009a";"Tarot - Calern";"ccd";""
"2454682.4710";"0.0030";"+0.0019";" -1583";"Le Borgne et al., 2009a";"Tarot - Calern";"ccd";""
"2454699.4680";"0.0020";"+0.0047";" -1546";"Le Borgne et al., 2009a";"Tarot - Calern";"ccd";""
"2454700.3850";"0.0020";"+0.0030";" -1544";"Le Borgne et al., 2009a";"Tarot - Calern";"ccd";""
"2454705.4368";"0.0012";"+0.0025";" -1533";"Le Borgne et al., 2009a";"Tarot - Calern";"ccd";""
"2454724.7250";"0.0010";"-0.0000";" -1491";"J. Vandenbroere, 2011, pr. com.";"R. Sabo";"ccd";"Data from AAVSO database, max. measured by J.Vandenbroere and G. Maintz"
"2454727.4840";"0.0030";"+0.0032";" -1485";"Le Borgne et al., 2009a";"Tarot - Calern";"ccd";""
"2454728.4110";"0.0100";"+0.0116";" -1483";"Vandenbroere, Salmon, 2009";"J. Vandenbroere";"vis";""
"2454753.2040";"0.0020";"+0.0022";" -1429";"J. Vandenbroere, 2011, pr. com.";"Y. Ogmen";"ccd";"Data from AAVSO database, max. measured by J.Vandenbroere and G. Maintz, R filte"
"2454757.3430";"0.0100";"+0.0075";" -1420";"Vandenbroere, Salmon, 2009";"J. Vandenbroere";"vis";""
"2454784.8930";"0.01";"-0.0007";" -1360";"Hirosawa, 2012";"K. Hirosawa";"vis";""
"2455037.5146";"0.0015";"+0.0041";"  -810";"Le Borgne et al., 2010a";"Tarot - Calern";"ccd";""
"2455055.4270";"0.0020";"+0.0037";"  -771";"Le Borgne et al., 2010a";"Tarot - Calern";"ccd";""
"2455082.5230";"0.0020";"+0.0008";"  -712";"Le Borgne et al., 2010a";"Tarot - Calern";"ccd";""
"2455083.4434";"0.0009";"+0.0026";"  -710";"H&#252;bscher, 2011";"G.-U. Flechsig";"ccd";""
"2455088.4970";"0.0020";"+0.0039";"  -699";"Le Borgne et al., 2010a";"Tarot - Calern";"ccd";""
"2455122.9410";"0.01";"+0.0002";"  -624";"Hirosawa, 2012";"K. Hirosawa";"vis";""
"2455138.5600";"0.0012";"+0.0029";"  -590";"Samolyk, 2010";"G. Samolyk";"ccd";"V filter"
"2455138.5600";"0.0020";"+0.0029";"  -590";"J. Vandenbroere, 2011, pr. com.";"G. Samolyk";"ccd";"Data from AAVSO database, max. measured by J.Vandenbroere and G. Maintz"
"2455388.8790";"0.0030";"+0.0016";"   -45";"Le Borgne et al., 2011a";"Tarot - Chile";"ccd";""
"2455409.5485";"0.0015";"+0.0025";"    +0";"Le Borgne et al., 2011a";"Tarot - Calern";"ccd";""
"2455420.5710";"0.0030";"+0.0017";"   +24";"Le Borgne et al., 2011a";"Tarot - Calern";"ccd";""
"2455423.7870";"0.0040";"+0.0026";"   +31";"Le Borgne et al., 2011a";"Tarot - Chile";"ccd";""
"2455443.9890";"0.01";"-0.0047";"   +75";"Hirosawa, 2012";"K. Hirosawa";"dslr";""
"2455445.3740";"0.0020";"+0.0024";"   +78";"Le Borgne et al., 2011a";"Tarot - Calern";"ccd";""
"2455453.6420";"0.0020";"+0.0029";"   +96";"Le Borgne et al., 2011a";"Tarot - Chile";"ccd";""
"2455765.5074";"0.0014";"+0.0015";"  +775";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2455770.5608";"0.0014";"+0.0025";"  +786";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2455777.9087";"0.0007";"+0.0016";"  +802";"Samolyk, 2012";"R. Sabo";"ccd";"V filter"
"2455783.4220";"0.0020";"+0.0032";"  +814";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2455790.7716";"0.0009";"+0.0040";"  +830";"Samolyk, 2012";"R. Sabo";"ccd";"V filter"
"2455799.4975";"0.0010";"+0.0031";"  +849";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2455804.5499";"0.0015";"+0.0032";"  +860";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2455806.3873";"0.0012";"+0.0034";"  +864";"H&#252;bscher et al., 2013";"G. Flechsig";"ccd";""
"2455806.8453";"0.0010";"+0.0021";"  +865";"Samolyk, 2012";"R. Sabo";"ccd";"V filter"
"2455834.4031";"0.0010";"+0.0017";"  +925";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2455836.7000";"0.0010";"+0.0021";"  +930";"Samolyk, 2012";"R. Sabo";"ccd";"V filter"
"2455846.3480";"0.0020";"+0.0047";"  +951";"Le Borgne et al., 2012a";"Tarot - Calern";"ccd";""
"2456120.5497";"0.0014";"+0.0024";" +1548";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456121.4683";"0.0015";"+0.0024";" +1550";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456148.5670";"0.0020";"+0.0022";" +1609";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456160.5095";"0.0015";"+0.0029";" +1635";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456161.4284";"0.0015";"+0.0032";" +1637";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456177.5030";"0.0020";"+0.0021";" +1672";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456181.6361";"0.0013";"+0.0015";" +1681";"Le Borgne et al., 2013a";"Tarot - Chile";"ccd";""
"2456206.4389";"0.0010";"+0.0020";" +1735";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456219.2990";"0.0020";"+0.0016";" +1763";"Le Borgne et al., 2013a";"Tarot - Calern";"ccd";""
"2456262.9332";"0.0020";"+0.0020";" +1858";"Hirosawa, 2013";"K. Hirosawa";"ccd";"V filter"
"2456449.8691";"0.0009";"+0.0015";" +2265";"Samolyk, 2014";"R. Sabo";"ccd";"V filter"
"2456487.5341";"0.0014";"+0.0036";" +2347";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456488.4521";"0.0016";"+0.0030";" +2349";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456515.5505";"0.0016";"+0.0025";" +2408";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456516.0053";"0.0020";"-0.0020";" +2409";"Hirosawa, 2014";"K. Hirosawa";"dslr";"green channel, Canon Kiss X3 (EOS 500D)"
"2456517.3873";"0.0014";"+0.0021";" +2412";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456539.4346";"0.0015";"+0.0029";" +2460";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456540.3533";"0.0030";"+0.0030";" +2462";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456557.3462";"0.0016";"+0.0017";" +2499";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456570.6654";"0.0009";"+0.0011";" +2528";"Samolyk, 2014";"R. Sabo";"ccd";"V filter"
"2456574.3408";"0.0028";"+0.0020";" +2536";"J.F. Le Borgne, 2013b, pr. com.";"Tarot - Calern";"ccd";""
"2456857.7315";"0.0020";"+0.0027";" +3153";"J.F. Le Borgne, 2014b, pr. com.";"Tarot - Chile";"ccd";""
"2456887.5840";"0.0010";"+0.0005";" +3218";"J.F. Le Borgne, 2014b, pr. com.";"Tarot - Calern";"ccd";""
"2456901.3660";"0.0007";"+0.0034";" +3248";"Samolyk, 2015";"T. Arranz";"ccd";"V filter"
"2456921.5742";"0.0019";"+0.0023";" +3292";"J.F. Le Borgne, 2014b, pr. com.";"Tarot - Chile";"ccd";""
"2456922.4973";"0.0046";"+0.0068";" +3294";"J.F. Le Borgne, 2014b, pr. com.";"Tarot - Calern";"ccd";""
"2456928.4639";"0.0013";"+0.0024";" +3307";"J.F. Le Borgne, 2014b, pr. com.";"Tarot - Calern";"ccd";""
"2456979.9059";"0.0020";"+0.0025";" +3419";"Hirosawa, 2015";"K. Hirosawa";"ccd";"C filter"
"2457202.2093";"0.0013";"+0.0031";" +3903";"J.F. Le Borgne, 2015, pr. com.";"K. Hirosawa";"ccd";"V filter"
"2457215.5258";"0.0011";"-0.0001";" +3932";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Calern";"ccd";""
"2457216.4465";"0.0027";"+0.0019";" +3934";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Calern";"ccd";""
"2457221.4995";"0.0015";"+0.0026";" +3945";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Calern";"ccd";""
"2457227.4701";"0.0014";"+0.0023";" +3958";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Calern";"ccd";""
"2457230.6853";"0.0012";"+0.0023";" +3965";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Chile";"ccd";""
